//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 2141009
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
02141009;1;01/09/1942;1;25,2;26,5;17;4;1;1;0;1280,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,2;0,8;0;0;0;0;0;0;0;0;0,2;0;0;0,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/10/1942;1;42;145,7;16;14;1;1;0;1280,8;1;0,4;0;0,3;0,4;0,2;0;0;0;0,2;0,4;0;0;0;0;15;42;0;25,7;0;0;0;0;0;0;12;0,6;38;0;10;0;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/11/1942;1;28;161,8;10;13;1;1;0;1280,8;1;0;0;0;0;0;0;0;0;25,7;28;0;0;0;0,6;19;0,9;10;4,4;12;0,8;25,1;10;0,3;0;0;0;0;25;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/12/1942;1;58;427;16;19;1;1;0;1280,8;1;0;15;36;39;15;0;4;5;57;0;9;0;0;0;30;58;20;14;8;0;0;0;0;0;0;12;24;8;23;9;41;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/01/1943;1;62;244;6;15;1;1;0;1043;1;9;0;0;23;32;62;12;10;18;0;0;8;2;0;0;11;12;3;0;14;16;0;0;0;0;12;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/02/1943;1;16;53,6;3;9;1;1;0;1043;1;0;0,4;16;14;0;0;0;0;0;0;0;1;10;0,8;11;0,2;0;0,2;0;0;0;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
02141009;1;01/03/1943;1;64;125,3;3;10;1;1;0;1043;1;0;0;64;0;0;0;0,3;0,2;10;8;0;0,3;0;0;0,6;0;0;0;0;0,3;0,6;0;0;0;0;0;0;0;0;0;41;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/04/1943;1;11;12,5;3;6;1;1;0;1043;1;0;0;11;0;0;0;0;0;0;0;0;0;0;0,1;0;0,2;0;0,3;0,7;0;0;0;0;0;0;0,2;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/05/1943;1;0,5;0,9;13;3;1;1;0;1043;1;0;0,1;0;0;0,3;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/06/1943;1;16;18,6;8;9;1;1;0;1043;1;0;0;0;0;0;0,5;0;16;0;0,2;0;0;0;0,2;0;0;0;0,7;0,3;0,5;0,1;0;0;0;0;0;0;0,1;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/07/1943;1;0,7;0,7;23;1;1;1;0;1043;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/08/1943;1;20;21;5;5;1;1;0;1043;1;0;0;0;0,2;20;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,3;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/09/1943;1;24;25,9;14;8;1;1;0;1043;1;0;0;0,3;0;0;0,3;0,5;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0,4;0,2;0,1;0;0,1;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/10/1943;1;50,1;233,1;14;22;1;1;0;1043;1;0;0;0,1;0,3;10;25,8;0,1;0,4;0;0;0,1;0,1;0,1;50,1;33;17;10;0,1;0;0;0;37;10;0,2;0;0;0,5;15;0,2;11;12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/11/1943;1;59;105,4;19;11;1;1;0;1043;1;0,8;0;0;10;0,3;0;0;0;0;0;0,2;0;0;0;0;0;0;0;59;0;0,4;0;0,6;0,9;0,1;0;0;33;0,1;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
02141009;1;01/12/1943;1;63;202;21;15;1;1;0;1043;1;0,3;27;0,4;0;0,3;0,2;0;18;0;0;0;0,3;0;0,5;0;0;10;0,6;0,4;40;63;25;16;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/01/1944;1;40;110,4;24;9;1;1;0;1051,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;20;0;33;0;0;0,4;40;0,1;0,7;0,5;0;15;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/02/1944;1;62;163,7;5;20;1;1;0;1051,8;1;0,2;0,8;0,4;0,6;62;0,8;0,1;0,1;52;0,7;0,2;0,8;0,6;21;0;0,2;0,8;0,6;21;0,2;0;0;0;0;0;0;0,6;0;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
02141009;1;01/03/1944;1;10;15,3;23;14;1;1;0;1051,8;1;0;0;0;0;0;0;0;0;0,9;0,1;0;0;0;0,5;0,2;0,3;0,4;0,8;0,9;0,1;0;0;10;0,1;0,1;0;0;0,8;0,1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
02141009;1;01/04/1944;1;65;156,8;17;11;1;1;0;1051,8;1;0,3;0;0;0;0;0;0;0;0;0;0;63;0;0;0,1;13;65;0,6;0,7;13;0,5;0,5;0,1;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
